Invoice Column,Purchase Order Column,Mapped Result,Invoice Tokens,Purchase Order Tokens,Invoice Clean Tokens,Purchase Order Clean Tokens
14329 ice cream vanilla bean 24lt ice cream mint choco chip 35lt ice cream gelato honeycomb 35lt ice cream sorbet raspberry 35lt ice cream gelato strawberry 24lt ice cream cookiesandcream 24lt,ice cream vanilla bean 24lt ice cream mint choco chip ice cream gelato honeycomb 35lt ice cream sorbet raspberry ice cream gelato strawberry ice cream cookiesandcream,"{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}","['14329', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']"
46323 ice cream sorbet lemoncello 55lt 36489 ice cream vanilla bean 24lt 69346 ice cream cookiepercentcrm dutch fud 12lt 68556 ice cream gelato mackinac fudge 55lt 14079 ice cream gelato honeycomb 24lt 67008 ice cream mango sorbetto 12lt,ice cream sorbet lemoncello ice cream vanilla bean ice cream cookiepercentcrm dutch fud ice cream gelato mackinac fudge ice cream gelato honeycomb ice cream sorbet raspberry,"{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}","['46323', 'ice', 'cream', 'sorbet', 'lemoncello', '55lt', '36489', 'ice', 'cream', 'vanilla', 'bean', '24lt', '69346', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', '12lt', '68556', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', '55lt', '14079', 'ice', 'cream', 'gelato', 'honeycomb', '24lt', '67008', 'ice', 'cream', 'mango', 'sorbetto', '12lt']","['ice', 'cream', 'sorbet', 'lemoncello', 'ice', 'cream', 'vanilla', 'bean', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', 'ice', 'cream', 'gelato', 'honeycomb', 'ice', 'cream', 'sorbet', 'raspberry']","['ice', 'cream', 'sorbet', 'lemoncello', '55lt', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', '12lt', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', '55lt', 'ice', 'cream', 'gelato', 'honeycomb', '24lt', 'ice', 'cream', 'mango', 'sorbetto', '12lt']","['ice', 'cream', 'sorbet', 'lemoncello', 'ice', 'cream', 'vanilla', 'bean', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', 'ice', 'cream', 'gelato', 'honeycomb', 'ice', 'cream', 'sorbet', 'raspberry']"
14329 ice cream vanilla bean 24lt ice cream mint choco chip 35lt ice cream gelato honeycomb 35lt ice cream sorbet raspberry 35lt ice cream gelato strawberry 24lt ice cream cookiesandcream 24lt,ice cream vanilla bean 24lt ice cream mint choco chip ice cream gelato honeycomb 35lt ice cream sorbet raspberry ice cream gelato strawberry ice cream cookiesandcream,"{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}","['14329', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']"
46323 ice cream sorbet lemoncello 55lt 36489 ice cream vanilla bean 24lt 69346 ice cream cookiepercentcrm dutch fud 12lt 68556 ice cream gelato mackinac fudge 55lt 14079 ice cream gelato honeycomb 24lt 67008 ice cream mango sorbetto 12lt,ice cream sorbet lemoncello ice cream vanilla bean ice cream cookiepercentcrm dutch fud ice cream gelato mackinac fudge ice cream gelato honeycomb ice cream sorbet raspberry,"{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}","['46323', 'ice', 'cream', 'sorbet', 'lemoncello', '55lt', '36489', 'ice', 'cream', 'vanilla', 'bean', '24lt', '69346', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', '12lt', '68556', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', '55lt', '14079', 'ice', 'cream', 'gelato', 'honeycomb', '24lt', '67008', 'ice', 'cream', 'mango', 'sorbetto', '12lt']","['ice', 'cream', 'sorbet', 'lemoncello', 'ice', 'cream', 'vanilla', 'bean', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', 'ice', 'cream', 'gelato', 'honeycomb', 'ice', 'cream', 'sorbet', 'raspberry']","['ice', 'cream', 'sorbet', 'lemoncello', '55lt', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', '12lt', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', '55lt', 'ice', 'cream', 'gelato', 'honeycomb', '24lt', 'ice', 'cream', 'mango', 'sorbetto', '12lt']","['ice', 'cream', 'sorbet', 'lemoncello', 'ice', 'cream', 'vanilla', 'bean', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', 'ice', 'cream', 'gelato', 'honeycomb', 'ice', 'cream', 'sorbet', 'raspberry']"
14329 ice cream vanilla bean 24lt ice cream mint choco chip 35lt ice cream gelato honeycomb 35lt ice cream sorbet raspberry 35lt ice cream gelato strawberry 24lt ice cream cookiesandcream 24lt,ice cream vanilla bean 24lt ice cream mint choco chip ice cream gelato honeycomb 35lt ice cream sorbet raspberry ice cream gelato strawberry ice cream cookiesandcream,"{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}","['14329', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']"
46323 ice cream sorbet lemoncello 55lt 36489 ice cream vanilla bean 24lt 69346 ice cream cookiepercentcrm dutch fud 12lt 68556 ice cream gelato mackinac fudge 55lt 14079 ice cream gelato honeycomb 24lt 67008 ice cream mango sorbetto 12lt,ice cream sorbet lemoncello ice cream vanilla bean ice cream cookiepercentcrm dutch fud ice cream gelato mackinac fudge ice cream gelato honeycomb ice cream sorbet raspberry,"{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}","['46323', 'ice', 'cream', 'sorbet', 'lemoncello', '55lt', '36489', 'ice', 'cream', 'vanilla', 'bean', '24lt', '69346', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', '12lt', '68556', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', '55lt', '14079', 'ice', 'cream', 'gelato', 'honeycomb', '24lt', '67008', 'ice', 'cream', 'mango', 'sorbetto', '12lt']","['ice', 'cream', 'sorbet', 'lemoncello', 'ice', 'cream', 'vanilla', 'bean', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', 'ice', 'cream', 'gelato', 'honeycomb', 'ice', 'cream', 'sorbet', 'raspberry']","['ice', 'cream', 'sorbet', 'lemoncello', '55lt', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', '12lt', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', '55lt', 'ice', 'cream', 'gelato', 'honeycomb', '24lt', 'ice', 'cream', 'mango', 'sorbetto', '12lt']","['ice', 'cream', 'sorbet', 'lemoncello', 'ice', 'cream', 'vanilla', 'bean', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', 'ice', 'cream', 'gelato', 'honeycomb', 'ice', 'cream', 'sorbet', 'raspberry']"
14329 ice cream vanilla bean 24lt ice cream mint choco chip 35lt ice cream gelato honeycomb 35lt ice cream sorbet raspberry 35lt ice cream gelato strawberry 24lt ice cream cookiesandcream 24lt,ice cream vanilla bean 24lt ice cream mint choco chip ice cream gelato honeycomb 35lt ice cream sorbet raspberry ice cream gelato strawberry ice cream cookiesandcream,"{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}","['14329', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']"
46323 ice cream sorbet lemoncello 55lt 36489 ice cream vanilla bean 24lt 69346 ice cream cookiepercentcrm dutch fud 12lt 68556 ice cream gelato mackinac fudge 55lt 14079 ice cream gelato honeycomb 24lt 67008 ice cream mango sorbetto 12lt,ice cream sorbet lemoncello ice cream vanilla bean ice cream cookiepercentcrm dutch fud ice cream gelato mackinac fudge ice cream gelato honeycomb ice cream sorbet raspberry,"{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}","['46323', 'ice', 'cream', 'sorbet', 'lemoncello', '55lt', '36489', 'ice', 'cream', 'vanilla', 'bean', '24lt', '69346', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', '12lt', '68556', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', '55lt', '14079', 'ice', 'cream', 'gelato', 'honeycomb', '24lt', '67008', 'ice', 'cream', 'mango', 'sorbetto', '12lt']","['ice', 'cream', 'sorbet', 'lemoncello', 'ice', 'cream', 'vanilla', 'bean', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', 'ice', 'cream', 'gelato', 'honeycomb', 'ice', 'cream', 'sorbet', 'raspberry']","['ice', 'cream', 'sorbet', 'lemoncello', '55lt', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', '12lt', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', '55lt', 'ice', 'cream', 'gelato', 'honeycomb', '24lt', 'ice', 'cream', 'mango', 'sorbetto', '12lt']","['ice', 'cream', 'sorbet', 'lemoncello', 'ice', 'cream', 'vanilla', 'bean', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', 'ice', 'cream', 'gelato', 'honeycomb', 'ice', 'cream', 'sorbet', 'raspberry']"
14329 ice cream vanilla bean 24lt ice cream mint choco chip 35lt ice cream gelato honeycomb 35lt ice cream sorbet raspberry 35lt ice cream gelato strawberry 24lt ice cream cookiesandcream 24lt,ice cream vanilla bean 24lt ice cream mint choco chip ice cream gelato honeycomb 35lt ice cream sorbet raspberry ice cream gelato strawberry ice cream cookiesandcream,"{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}","['14329', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']"
46323 ice cream sorbet lemoncello 55lt 36489 ice cream vanilla bean 24lt 69346 ice cream cookiepercentcrm dutch fud 12lt 68556 ice cream gelato mackinac fudge 55lt 14079 ice cream gelato honeycomb 24lt 67008 ice cream mango sorbetto 12lt,ice cream sorbet lemoncello ice cream vanilla bean ice cream cookiepercentcrm dutch fud ice cream gelato mackinac fudge ice cream gelato honeycomb ice cream sorbet raspberry,"{'46323 ICE CREAM SORBET LEMONCELLO 5/5LT': 'ICE CREAM SORBET LEMONCELLO', '36489 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN', '69346 ICE CREAM COOKIE%CRM DUTCH FUD 1/2LT': 'ICE CREAM COOKIE%CRM DUTCH FUD', '68556 ICE CREAM GELATO MACKINAC FUDGE 5/5LT': 'ICE CREAM GELATO MACKINAC FUDGE', '14079 ICE CREAM GELATO HONEYCOMB 2/4LT': 'ICE CREAM GELATO HONEYCOMB', '67008 ICE CREAM MANGO SORBETTO 1/2LT': 'ICE CREAM SORBET RASPBERRY'}","['46323', 'ice', 'cream', 'sorbet', 'lemoncello', '55lt', '36489', 'ice', 'cream', 'vanilla', 'bean', '24lt', '69346', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', '12lt', '68556', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', '55lt', '14079', 'ice', 'cream', 'gelato', 'honeycomb', '24lt', '67008', 'ice', 'cream', 'mango', 'sorbetto', '12lt']","['ice', 'cream', 'sorbet', 'lemoncello', 'ice', 'cream', 'vanilla', 'bean', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', 'ice', 'cream', 'gelato', 'honeycomb', 'ice', 'cream', 'sorbet', 'raspberry']","['ice', 'cream', 'sorbet', 'lemoncello', '55lt', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', '12lt', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', '55lt', 'ice', 'cream', 'gelato', 'honeycomb', '24lt', 'ice', 'cream', 'mango', 'sorbetto', '12lt']","['ice', 'cream', 'sorbet', 'lemoncello', 'ice', 'cream', 'vanilla', 'bean', 'ice', 'cream', 'cookiepercentcrm', 'dutch', 'fud', 'ice', 'cream', 'gelato', 'mackinac', 'fudge', 'ice', 'cream', 'gelato', 'honeycomb', 'ice', 'cream', 'sorbet', 'raspberry']"
14329 ice cream vanilla bean 24lt ice cream mint choco chip 35lt ice cream gelato honeycomb 35lt ice cream sorbet raspberry 35lt ice cream gelato strawberry 24lt ice cream cookiesandcream 24lt,ice cream vanilla bean 24lt ice cream mint choco chip ice cream gelato honeycomb 35lt ice cream sorbet raspberry ice cream gelato strawberry ice cream cookiesandcream,"{'14329 ICE CREAM VANILLA BEAN 2/4LT': 'ICE CREAM VANILLA BEAN 2/4LT', 'ICE CREAM MINT CHOCO CHIP 3/5LT': 'ICE CREAM MINT CHOCO CHIP', 'ICE CREAM GELATO HONEYCOMB 3/5LT': 'ICE CREAM GELATO HONEYCOMB 3/5LT', 'ICE CREAM SORBET RASPBERRY 3/5LT': 'ICE CREAM SORBET RASPBERRY', 'ICE CREAM GELATO STRAWBERRY 2/4LT': 'ICE CREAM GELATO STRAWBERRY', 'ICE CREAM COOKIES&CREAM 2/4LT': 'ICE CREAM COOKIES&CREAM'}","['14329', 'ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', '35lt', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', '35lt', 'ice', 'cream', 'gelato', 'strawberry', '24lt', 'ice', 'cream', 'cookiesandcream', '24lt']","['ice', 'cream', 'vanilla', 'bean', '24lt', 'ice', 'cream', 'mint', 'choco', 'chip', 'ice', 'cream', 'gelato', 'honeycomb', '35lt', 'ice', 'cream', 'sorbet', 'raspberry', 'ice', 'cream', 'gelato', 'strawberry', 'ice', 'cream', 'cookiesandcream']"
